标题,标题链接,bd,数量,编号,inq
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008 / 美国 / 剧情 爱情 奇幻
                        ",9.0,997670人评价,在时间之河里感受溺水之苦。
美丽心灵,https://movie.douban.com/subject/1306029/,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...
                            2001 / 美国 / 传记 剧情
                        ",9.1,779332人评价,爱是一切逻辑和原由。
穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,"
                            导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...
                            2008 / 英国 美国 / 剧情 战争
                        ",9.2,575341人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴,https://movie.douban.com/subject/1900841/,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
                            2006 / 德国 / 剧情 悬疑
                        ",9.2,572288人评价,别样人生。
情书,https://movie.douban.com/subject/1292220/,"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995 / 日本 / 剧情 爱情
                        ",8.9,1132311人评价,暗恋的极致。
两杆大烟枪,https://movie.douban.com/subject/1293350/,"
                            导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...
                            1998 / 英国 / 剧情 喜剧 犯罪
                        ",9.1,602469人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,https://movie.douban.com/subject/1292402/,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
                            2000 / 意大利 美国 / 剧情 战争 情色
                        ",8.9,988799人评价,美丽无罪。
看不见的客人,https://movie.douban.com/subject/26580232/,"
                            导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...
                            2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚
                        ",8.8,1289723人评价,你以为你以为的就是你以为的。
音乐之声,https://movie.douban.com/subject/1294408/,"
                            导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...
                            1965 / 美国 / 剧情 传记 爱情 歌舞
                        ",9.1,611594人评价,用音乐化解仇恨，让歌声串起美好。
阿凡达,https://movie.douban.com/subject/1652587/,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...
                            2009 / 美国 / 动作 科幻 冒险
                        ",8.8,1439851人评价,绝对意义上的美轮美奂。
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            1998 / 美国 / 剧情 战争
                        ",9.1,656289人评价,美利坚精神输出大片No1.
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,"
                            导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...
                            2011 / 美国 英国 / 奇幻 冒险
                        ",9.0,846260人评价,10年的完美句点。
飞越疯人院,https://movie.douban.com/subject/1292224/,"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
                            1975 / 美国 / 剧情
                        ",9.1,553797人评价,自由万岁。
小鞋子,https://movie.douban.com/subject/1303021/,"
                            导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...
                            1997 / 伊朗 / 剧情 儿童 家庭
                        ",9.2,417170人评价,奔跑的孩子是天使。
沉默的羔羊,https://movie.douban.com/subject/1293544/,"
                            导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...
                            1991 / 美国 / 剧情 犯罪 惊悚
                        ",8.9,903731人评价,安东尼·霍普金斯的顶级表演。
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,"
                            导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...
                            2014 / 美国 德国 英国 / 剧情 喜剧 冒险
                        ",8.9,954293人评价,小清新的故事里注入了大历史的情怀。
功夫,https://movie.douban.com/subject/1291543/,"
                            导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...
                            2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻
                        ",8.8,1155488人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
禁闭岛,https://movie.douban.com/subject/2334904/,"
                            导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
                            2010 / 美国 / 剧情 悬疑 惊悚
                        ",8.9,993486人评价,昔日翩翩少年，今日大腹便便。
蝴蝶效应,https://movie.douban.com/subject/1292343/,"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
                        ",8.9,952564人评价,人的命运被自己瞬间的抉择改变。
致命魔术,https://movie.douban.com/subject/1780330/,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...
                            2006 / 英国 美国 / 剧情 悬疑 惊悚
                        ",8.9,873788人评价,孪生蝙蝠侠大战克隆金刚狼。
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,"
                            导演: Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...
                            2004 / 英国 美国 / 奇幻 冒险
                        ",8.9,746438人评价,不一样的导演，不一样的哈利·波特。
心灵捕手,https://movie.douban.com/subject/1292656/,"
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...
                            1997 / 美国 / 剧情
                        ",8.9,725590人评价,人生中应该拥有这样的一段豁然开朗。
超脱,https://movie.douban.com/subject/5322596/,"
                            导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...
                            2011 / 美国 / 剧情
                        ",9.0,615105人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
海豚湾,https://movie.douban.com/subject/3442220/,"
                            导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...
                            2009 / 美国 / 纪录片
                        ",9.3,360427人评价,海豚的微笑，是世界上最高明的伪装。
低俗小说,https://movie.douban.com/subject/1291832/,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...
                            1994 / 美国 / 剧情 喜剧 犯罪
                        ",8.9,847224人评价,故事的高级讲法。
春光乍泄,https://movie.douban.com/subject/1292679/,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
                            1997 / 中国香港 日本 韩国 / 剧情 爱情 同性
                        ",9.0,641256人评价,爱情纠缠，男女一致。
摩登时代,https://movie.douban.com/subject/1294371/,"
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
                            1936 / 美国 / 剧情 喜剧 爱情
                        ",9.3,306465人评价,大时代中的人生，小人物的悲喜。
美国往事,https://movie.douban.com/subject/1292262/,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...
                            1984 / 美国 意大利 / 犯罪 剧情
                        ",9.2,418097人评价,往事如烟，无处祭奠。
喜剧之王,https://movie.douban.com/subject/1302425/,"
                            导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...
                            1999 / 中国香港 / 喜剧 剧情 爱情
                        ",8.8,984112人评价,我是一个演员。
致命ID,https://movie.douban.com/subject/1297192/,"
                            导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...
                            2003 / 美国 / 剧情 悬疑 惊悚
                        ",8.9,838930人评价,最不可能的那个人永远是最可能的。
杀人回忆,https://movie.douban.com/subject/1300299/,"
                            导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
                            2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚
                        ",8.9,727888人评价,关于连环杀人悬案的集体回忆。
七宗罪,https://movie.douban.com/subject/1292223/,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚
                        ",8.8,954642人评价,警察抓小偷，老鼠玩死猫。
红辣椒,https://movie.douban.com/subject/1865703/,"
                            导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...
                            2006 / 日本 / 动画 悬疑 科幻 惊悚
                        ",9.1,475344人评价,梦的勾结。
加勒比海盗,https://movie.douban.com/subject/1298070/,"
                            导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...
                            2003 / 美国 / 动作 冒险 奇幻
                        ",8.8,871611人评价,约翰尼·德普的独角戏。
哈利·波特与密室,https://movie.douban.com/subject/1296996/,"
                            导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...
                            2002 / 英国 美国 / 奇幻 冒险
                        ",8.9,773680人评价,魔法的密室之门已打开...
