code,name,spec,trademark,addr,units,factory_name,trade_price,retail_price,updateAt,wholeunit,wholenum,img,src
6938791300563,午餐肉,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938791300570,午餐肉,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938803910070,狗乐儿,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938810901214,果然多山楂,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938831169808,垃圾袋,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938843800645,小鱼饼,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938843800669,小鱼饼,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938849400672,猪肉,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938849400849,齐鲁风味,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938849480070,酷留,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938849480193,双汇,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938866510989,维维奶,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938866530796,维维,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938874411551,白色运动袜,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888172,奶茶,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888810,香飘飘香芋,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888827,巧克力味,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888834,香飘飘原,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888841,香飘飘奶茶,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888844,麦香,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888858,咖啡味,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888865,香飘飘草莓味,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888868,奶茶,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888872,香飘飘绿茶,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938888888877,香飘飘,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902618013,拉芳,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902618020,拉芳,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902618037,包膏,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902618044,拉芳,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902618259,拉芳,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902618433,包洗头膏,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902618556,拉芳赭喱水,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902618570,拉芳定型,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902618617,拉芳,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902630015,雨结,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902630022,雨洁,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902630039,雨洁,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902630046,雨结,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902630084,200M雨洁,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902630176,雨洁活力青柠,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902630589,雨洁香皂,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938902630794,男士洗发水,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938944401277,欣凯女袜,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938944488025,欣凯袜裤,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938958830216,毛巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938958830285,毛巾,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
6938991600036,饺子,,,,,,0.0000,0.0000,2017-07-10 13:48:22,None,None,None,None
