orderID,barcode,categoryID,name,pricePer,retailPrice,tradePrice,unitID,count
154243670702714192353,6938097600107,1,502胶水,2,2,1,4,1
154243670702714192353,6949810502516,1,奥奇龙闪电发光安卓数据线L68A,25,25,0,5,1
154243670771521633738,6925909980151,10,张新发槟榔5g,20,20,16,8,1
154243670673819072975,6935041525066,10,旺仔小馒头原味蜂蜜16g,1,1,0.75,8,1
154243670535620116388,6935687719010,1,幸福厨小麦粉,8,8,0,0,1
154243669684515701516,6901028111263,1,南京赫门包装,17,17,14.31,8,1
154243671139114195581,6956064018137,1,500克加碘精制盐,2,2,1,8,1
154243671139114195581,6956064000705,1,雪天海藻碘低钠盐,2.5,2.5,1.5,8,1
154243671151419078154,6914782082380,10,徐福记迷你包鸡蛋香酥32g,1.5,1.5,1,8,2
154243671151419078154,6956481000036,1,奶油法饼,1,1,0.7,4,1
154243671151419078154,6943268000273,1,桃酥,1,1,0.7,4,1
154243380375115507091,6901028193498,1,芙蓉王包装,24,24,21.83,8,1
154243671634119076166,4891599338393,11,加多宝凉茶310ml,3.5,3.5,2.2,6,1
15424367187379061567,6925814851362,1,小龙王九总槟榔28g,13,13,11,8,2
15424367187379061567,6925814870097,1,九总二十元,18,18,15,4,1
15424367187379061567,6901028191043,1,白沙品包装,9.5,9.5,7.63,8,1
154243672025414194273,6903148078907,1,汰渍净白去渍无磷洗衣粉16kg,12,12,8.7,7,1
154243672025414194273,6920354807787,1,高露洁健白防蛀牙膏140g,12,12,8,13,1
15424367180156182433,6901028191012,1,软白沙,6.5,6.5,5.8,8,1
154243671905012471691,99999999-1,1,无码商品,10,10,0,0,1
154243672020619075299,6902538004045,11,乐百氏脉动青柠味600ml,4,4,3,2,1
154243672150919455573,99999999-1,1,无码商品,18,18,0,0,1
15424367231576212134,0309,1,05元棒棒糖,0.5,0.5,0.35,4,1
15424367231576212134,1001,1,一元系列,1,1,0.75,4,1
154243672365915507551,6900471253490,1,云上时光风味酸奶原味320g,10,10,8,2,1
154243672365915507551,6901028193498,1,芙蓉王包装,24,24,21.83,8,1
154243672400211655460,6901028191166,21,精白沙,92,92,88,10,1
154243672400211655460,6901028191135,1,软白沙条,60,60,55,0,2
154243672421219079474,6921311196364,11,康师傅冰红茶檬口味茶饮品1L,4,4,3,2,1
154243672421219079474,6917878039831,11,雀巢全家营养甜奶粉00g,17,17,16,7,1
15424367248862342447,6901028178099,1,黄鹤楼天下胜景包装,27,27,0,8,2
154243672321215342508,6933125666889,1,湘潭铺子枸杞槟榔35g,18,18,16,8,1
15424367343687124903,6901028191012,1,白沙(软),6,6,0,8,1
15424368062353337556,6901285991219,1,怡宝饮用纯净水555ml,2,2,1.33,4,3
154243673962022288855,99999999-1,1,无码商品,14,14,0,0,1
154243674007322623009,6940159410029,11,600百事可乐可乐型汽水,3,3,2.25,4,1
15424367549804422572,6901028129855,1,黄山（大壹品）,11,11,9.33,0,1
15424367559343784980,6901028005029,1,新版五叶神,12,12,10.3,3,1
154243675146020824096,6923644283575,1,蒙牛真果粒蓝莓口味250g,3.5,3.5,0,0,3
15424367542479499626,6903148091463,1,潘婷丝质顺滑洗发露200ML,18,18,1,4,1
15424367542479499626,6923450605288,1,绿箭金装口香糖薄荷味12片装,5,5,1,4,1
15424367542479499626,69028571,1,绿箭无糖薄荷糖原味薄荷口味35粒,9,9,6.4,4,1
154243675614218156226,007,1,一元火机,1,1,0.01,4,1
154243675614218156226,6901028123259,21,黄山记忆包装,10,10,8.8,8,1
154243678823921685795,6901028191043,21,白沙品包装,10,10,7.63,8,1
154243675883821631961,6925909980151,10,张新发槟榔5g,20,20,16,8,1
154243675883821631961,6901028193498,21,芙蓉王包装,25,25,21.83,8,1
154243675869520694513,6901028118170,21,利群版包装,15,15,12.29,8,1
154243676322214199688,6900077044058,1,隆力奇蛇油膏60g,8,8,4.5,6,1
154243676374219219544,6931273213559,10,食用槟榔运当头8g,13,13,10.9,8,1
154243676688120829817,6921294349023,1,康师傅糖香柚子味饮品,3,3,0,4,2
154243676102822154815,6931273213559,10,和成天下槟榔运当头8g,15,15,12,8,1
15424367693915226638,6902902003506,1,210g美味鲜柱侯酱,4,4,3.5,0,1
154243677006112602115,6901028095884,21,黄果树征包装,5.5,5.5,4.77,8,1
154243677006112602115,6925303773915,1,统一老坛酸菜牛肉面121g,2.5,2.5,2,8,3
154243677006112602115,6900873772353,1,康师傅好滋味香辣牛肉96g,2,2,1.41,7,2
154243676919020691819,6901028317122,21,玉溪包装,23,23,20.14,8,1
154243677462016533087,6942217502677,1,小猪佩奇乳酸菌饮品流通版生菌原味00毫升x5瓶x6排,68,68,58,4,1
154243677589715133529,6901028193498,1,芙蓉王(硬),25,25,0,8,1
15424367819436063227,6926292531746,9,日美手套号M51812,15,15,6,4,1
154243678314723651123,6921311191987,11,康师傅茉莉蜜茶味茶饮品升,4,4,3,4,1
154243678274616172507,99999999-1,1,无码商品,2,2,0,0,1
154243678477722253897,6925909980342,1,张新发木糖醇20元槟榔,18,18,0,4,1
15424367949504421786,6901121300298,1,浪奇万丽洁厕精,4.5,4.5,3.4,0,1
15424367856628286708,6958214688887,1,叼嘴巴20元,16,16,14.5,8,1
154243678938823223630,6931273213559,10,食用槟榔运当头8g,15,15,12,8,1
154243678913210654969,6901028317122,1,玉溪软盒【包装】,23,23,21,4,1
15424367974186315026,6921168593569,1,茶π（蜜桃乌龙茶）,5,5,3.8,2,1
154243679899018347027,6956064000590,1,500克加碘精制盐,1.5,1.5,0.9,4,2
154243679899018347027,6925909980151,10,张新发槟榔5g,18,18,16,8,1
154243680060914192391,6907992514123,1,伊利果果昔酸奶饮品混合莓210g,6,6,5.3,2,5
15424368011027242577,6901028063364,1,白沙(硬新精品二代),10,10,8.8,3,1
15424368011027242577,6920734700776,1,康师傅 红烧牛肉面106g,4,4,3.25,14,1
154243680282910656302,6901028046886,21,云烟包装,10,10,9.6,4,1
15424368722023331471,6918551809734,1,五羊香草大杯73g,3,3,2,10,1
15424368722023331471,6938136800970,1,九制杨梅,5,5,4,8,1
154243680763613897803,99999999-1,1,无码商品,14,14,0,0,1
154243680714317771375,6901028191043,21,白沙精品包装,9,9,7.63,8,1
154243680866017651469,6914782114302,1,熊博士口嚼糖桔子味2g,1,1,0,0,1
154243680866017651469,6914782114319,1,熊博士口嚼糖葡萄味2克,1,1,0,0,1
154243680866017651469,6914782114326,1,熊博士口嚼糖水蜜桃味2g,1,1,0,0,1
154243680866017651469,6914782115651,10,熊博士芒果味糖22g,1,1,0,10,1
154243680866017651469,6914782115668,1,熊博士密瓜味22g,1,1,0,0,1
154243680866017651469,6931306700100,1,芝麻川豆茶,5,5,0,0,1
154243681414513891057,99999999-1,1,无码商品,7,7,0,0,1
154243681263820599026,99999999-1,1,无码商品,10,10,0,0,1
154243681470314197124,6948960100030,1,百威啤酒500ml,7,7,4.56,2,8
154243681239910656472,6901028048125,1,红梅香烟软黄【包装】,4.5,4.5,4,4,1
15424368162635096915,6928479743188,1,酥老汉 兰花豆140g,3.5,3.5,2.3,7,1
154243679400815797585,99999999-1,1,无码商品,25,25,0,0,1
154243678604124414350,6901668005717,1,奥利奥夹心原味高原装116g,7,7,0,0,1
154243678604124414350,6943737418165,1,香菇豆干,1,1,0,0,1
154243678604124414350,6901028024969,1,娇子包装,10,10,0,0,1
154243678604124414350,6901028188432,1,黄鹤楼万年红包装,18,18,0,0,1
154243674887411335960,6901028118170,1,利群版包装,14,14,12.29,8,1
154243674887411335960,6920761202120,1,加加标白醋50ml,4.5,4.5,3.8,2,1
154243681592016628772,6923644266066,1,蒙牛特仑苏纯牛奶250ml,6,6,4,3,1
154243682220317995834,6921468222947,1,好感觉水果糖,5,5,3.15,8,2
154243682220317995834,6903148054758,8,汰渍净白去渍洗衣粉檬清新型Kg,38,38,32.5,7,1
154243682466511498352,6925909960085,1,张新发门店木糖醇槟榔25g,17,15,12,8,1
154243682492620708564,99999999-1,1,无码商品,1,1,0,0,1
154243682492620708564,6901028191043,21,白沙品包装,10,10,7.63,8,1
154243682492620708564,6925909980151,10,张新发槟榔5g,20,20,15.58,8,1
154243682492620708564,6920907808117,10,好丽友好多鱼香茄汁味烤型马林薯膨化食品33g,4.5,4.5,3.5,3,1
154243682715314195583,6922577722090,1,君乐宝纯享益生菌风味发酵乳苹果味360ml,10,10,8,2,1
154243682715314195583,6926475203149,1,优乐美奶茶原味80g,3.5,3.5,2.33,15,1
154243682715314195583,6938888888851,1,香飘飘咖啡奶茶80g,3.5,3.5,2.8,15,1
154243682715314195583,6926475206430,1,优乐美红枣奶茶70g,5,5,3.46,2,1
154243682974522437963,6920761200669,20,加加鸡精100g,4,4,0,7,1
154243683223614198161,6901028315425,1,红塔山经典100包装,10,10,8.8,8,1
15424368326377735192,6925909980342,1,张新发木糖醇20元槟榔,18,18,16,8,1
154243683191218999639,6931273213238,10,食用槟榔出于蓝5g,20,20,0,8,1
154243683191218999639,6901028193498,1,芙蓉王包装,25,25,21.83,8,1
154243683398816171491,99999999-1,1,无码商品,3.5,3.5,0,0,1
154243683628223145541,6901754050171,20,乌江涪陵低盐榨菜0g,2,2,0,8,1
154243684043214191488,6911988006561,1,可比克蕃茄味薯片桶装05g,8,8,0,6,1
154243684043214191488,6920734742714,1,康师傅香菇炖鸡桶面,4,4,0,4,1
154243684043214191488,6935284488883,1,卫龙小面筋22g,0.5,0.5,0,8,1
154243684043214191488,6903653025984,1,威化餅180g0,4,4,2.8,7,1
154243684043214191488,6971355061531,1,百氏兄弟,6,6,0,4,1
154243684043214191488,6971355061524,1,百氏兄弟,6,6,0,4,1
15424368421917229125,6925303730574,1,统一阿萨姆原味奶茶,5.142857142857143,4,3.2,4,1
15424368421917229125,6954767412573,1,可口可乐500ml,3.8571428571428577,3,2,4,1
15424368416729499532,6922824000643,1,李锦记薄盐生抽,8,8,1,4,1
15424368416729499532,6924810801326,1,卡士鲜酪乳原味120g,9,9,8,4,1
15424368416729499532,6924810802248,1,卡士酸酪乳原味100g,11,11,0,5,2
154243684271624134461,4891028703204,1,维他柠檬茶柠檬味250ml6,38,38,0,0,1
154243684271624134461,6923644282479,1,定制纯牛奶,38,38,0,0,1
154243684271624134461,6924686560976,1,晨光红枣枸杞牛奶250ml6,45,45,0,0,1
15424368447097003984,6934502301850,1,500ml东鹏特饮维生素功能饮料,5,5,3.75,2,1
154243689054920035257,6901028071468,21,中南海mg包装,10,10,0,8,1
154243684927424245521,6901028160278,1,黄金叶途包装,15,15,0,0,1
154243685193814193828,6923567880103,1,咪咪虾条20g,0.5,0.5,0,8,1
154243685193814193828,6930917200078,1,卫龙点心面38g,1,1,0.7,8,1
154243685193814193828,6944910809268,1,花生米,3.5,3.5,0,8,1
154243685193814193828,6911988011602,1,达利园法式小面包香奶味00g,7,7,0,7,1
154243685479120783726,6901028046886,21,精品红云烟,10,10,8.8,8,1
154243685479120783726,4711588115715,21,绿520香烟,8,8,6.2,8,1
154243686142814192725,6921929900254,1,郫筒红油郫县豆瓣,5,5,4,2,1
154243686308116622078,9,2,炒货,5,5,3.5,4,1
154243686308116622078,6931008484278,1,正宗红梅,6.5,6.5,0,0,1
15424368653337229997,056,1,衣叉,5,5,2,4,1
